570,Medicare,"Function 570 includes only the Medicare program, which provides health insurance to senior citizens and persons with disabilities. Congress provides an annual appropriation for the costs of administering and monitoring the Medicare program. Nearly 99 percent of spending in this function occurs on the mandatory side of the budget, and almost all of the mandatory spending consists of payments for Medicare benefits."
571,Medicare,
600,Income Security,"Function 600 consists of a range of income security programs that provide cash or near-cash assistance (e.g., housing, nutrition, and energy assistance) to low-income persons, and benefits to certain retirees, persons with disabilities, and the unemployed. Housing assistance programs account for the largest share of discretionary funding in this function. Major federal entitlement programs in this function include unemployment insurance, trade adjustment assistance income support, food stamps, Temporary Assistance to Needy Families, foster care, and Supplemental Security Income. Federal and other retirement and disability programs comprise approximately one third of the funds in this function."
601,General retirement and disability insurance (excluding social security),
602,Federal employee retirement and disability,
603,Unemployment compensation,
604,Housing assistance,
605,Food and nutrition assistance,
609,Other income security,
650,Social Security,"Function 650 consists of the two payroll tax-financed programs that are collectively known as Social Security: Old-Age and Survivors Insurance and Disability Insurance (OASDI). This function includes Social Security benefit payments and funds to administer the program. Under provisions of the Congressional Budget Act and the Budget Enforcement Act, Social Security trust funds are off-budget and do not appear in the budget resolution totals. However, a small portion of spending in Function 650 - the general fund transfer of income taxes on Social Security benefits - is considered on-budget and appears in the budget resolution totals."
651,Social security,
700,Veterans Benefits and Services,"Function 700 covers the programs of the Department of Veterans Affairs (VA), including veterans' medical care, compensation and pensions, education and rehabilitation benefits, and housing programs. It also includes the Department of Labor's Veterans' Employment and Training Service, the United States Court of Appeals for Veterans Claims, and the American Battle Monuments Commission. Almost 90 percent of appropriated funding in Function 700 goes to veterans' health care."
701,Income security for veterans,
702,"Veterans education, training, and rehabilitation",
703,Hospital and medical care for veterans,
704,Veterans housing,
705,Other veterans benefits and services,
750,Administration of Justice,"The Administration of Justice function consists of federal law enforcement programs, litigation and judicial activities, correctional operations, and state and local justice assistance. Agencies within this function include: the Federal Bureau of Investigation; the Drug Enforcement Administration; Border and Transportation Security; the Bureau of Alcohol, Tobacco, Firearms and Explosives; the United States Attorneys; legal divisions within the Department of Justice; the Legal Services Corporation; the federal Judiciary; and the Federal Bureau of Prisons. This function includes several components of the Department of Homeland Security."
751,Federal law enforcement activities,
752,Federal litigative and judicial activities,
753,Federal correctional activities,
754,Criminal justice assistance,
800,General Government,"This function includes the activities of the White House and the Executive Office of the President, the legislative branch, and programs designed to carry out the legislative and administrative responsibilities of the federal government, including personnel management, fiscal operations, and property control."
801,Legislative functions,
802,Executive direction and management,
803,Central fiscal operations,
804,General property and records management,
805,Central personnel management,
806,General purpose fiscal assistance,
808,Other general government,
809,Deductions for offsetting receipts,
900,Net Interest,Function 900 consists primarily of the interest paid by the federal government to private and foreign government holders of U.S. Treasury securities. This amount is slightly offset by interest income received by the federal government on loans and cash balances and by earnings of the National Railroad Retirement Investment Trust.
901,Interest on Treasury debt securities (gross),
902,Interest received by on-budget trust funds,
903,Interest received by off-budget trust funds,
908,Other interest,
909,Other investment income,
920,Allowances,"This function displays the budgetary effect of proposals that cannot easily be distributed across other budget functions. In the past, this function has included funding for emergencies or proposals contingent on certain events."
921,Allowances [Assigned by OMB],
922,Allowances [Assigned by OMB],
923,Allowances [Assigned by OMB],
924,Allowances [Assigned by OMB],
925,Allowances [Assigned by OMB],
926,Allowances [Assigned by OMB],
927,Allowances [Assigned by OMB],
928,Allowances [Assigned by OMB],
929,Allowances [Assigned by OMB],
950,Undistributed Offsetting Receipts,This function comprises major offsetting receipt items that would distort the funding levels of other functional categories if they were distributed to them.
951,"Employer share, employee retirement (on-budget)",
952,"Employer share, employee retirement (off-budget)",
953,Rents and royalties on the Outer Continental Shelf,
954,Sale of major assets,
959,Other undistributed offsetting receipts,
999,Multifunction account [used for accounts that involve two or more major functions],
