omb_cat,name,year,corp,indv,total,gdp,gdp_price_index,corp_adj,indv_adj,total_adj,percent_corp,percent_gdp,percent_indv,percent_omb_cat,percent_total,percent_change,orig_name
Commerce And Housing,Depreciation On Rental Housing In Excess Of Straight Line,1974,105000000.0,375000000.0,480000000.0,1486200000000.0,0.2502279773846434,419617347,1498633382,1918250729,0.58,0.03,0.73,1.51,0.69,, 
Commerce And Housing,Dividend Exclusion,1974,,320000000.0,320000000.0,1486200000000.0,0.2502279773846434,,1278833819,1278833819,,0.02,0.63,1.01,0.46,, 
Commerce And Housing,Excess Bad Debt Reserves Of Financial Institutions,1974,780000000.0,,780000000.0,1486200000000.0,0.2502279773846434,3117157434,,3117157434,4.28,0.05,,2.46,1.12,,Bad Debt Reserve Of Financial Institutions In Excess Of Actual
Commerce And Housing,Excess Bad Debt Reserves Of Financial Institutions,1974,1000000000.0,,1000000000.0,1486200000000.0,0.2502279773846434,3996355685,,3996355685,5.48,0.07,,3.15,1.44,, 
Energy,Excess Of Percentage Over Cost Depletion,1974,1815000000.0,305000000.0,2120000000.0,1486200000000.0,0.2502279773846434,7253385569,1218888484,8472274052,9.95,0.14,0.60,71.74,3.05,, 
Income Security,Excess Of Percentage Standard Deduction Over Minimum Standard Deduction,1974,,1260000000.0,1260000000.0,1486200000000.0,0.2502279773846434,,5035408163,5035408163,,0.08,2.46,11.82,1.81,, 
National Defense,Exclusion Of Benefits And Allowances To Armed Forces Personnel,1974,,650000000.0,650000000.0,1486200000000.0,0.2502279773846434,,2597631195,2597631195,,0.04,1.27,100.00,0.94,, 
Income Security,Exclusion Of Capital Gains On Home Sales For Persons Age 65 And Over,1974,,10000000.0,10000000.0,1486200000000.0,0.2502279773846434,,39963557,39963557,,0.00,0.02,0.09,0.01,,Exclusion Of Capital Gain On Home Sales If Over 65
Income Security,Exclusion Of Disability Pay,1974,,255000000.0,255000000.0,1486200000000.0,0.2502279773846434,,1019070700,1019070700,,0.02,0.50,2.39,0.37,,Exclusion Of Sick Pay
"Education, Training, Employment, And Social Services",Exclusion Of Employee Meals And Lodging (Other Than Military),1974,,175000000.0,175000000.0,1486200000000.0,0.2502279773846434,,699362245,699362245,,0.01,0.34,2.97,0.25,, 
Health,Exclusion Of Employer Contributions For Medical Insurance Premiums And Medical Care,1974,,2940000000.0,2940000000.0,1486200000000.0,0.2502279773846434,,11749285714,11749285714,,0.20,5.74,58.05,4.23,, 
Veterans Benefits And Services,Exclusion Of Gi Bill Benefits,1974,,290000000.0,290000000.0,1486200000000.0,0.2502279773846434,,1158943149,1158943149,,0.02,0.57,36.25,0.42,, 
International Affairs,Exclusion Of Gross-Up On Dividends Of Ldc Corporations,1974,55000000.0,,55000000.0,1486200000000.0,0.2502279773846434,219799563,,219799563,0.30,0.00,,5.16,0.08,, 
International Affairs,Exclusion Of Income Earned Abroad By Us Citizens,1974,,90000000.0,90000000.0,1486200000000.0,0.2502279773846434,,359672012,359672012,,0.01,0.18,8.45,0.13,,Exclusion Of Certian Income Earned Abroad By Us Citizens
Commerce And Housing,Exclusion Of Interest On Life Insurance Savings,1974,,1420000000.0,1420000000.0,1486200000000.0,0.2502279773846434,,5674825073,5674825073,,0.10,2.77,4.47,2.05,, 
General Purpose Fiscal Assistance,Exclusion Of Interest On Public Purpose State And Local Bonds,1974,2805000000.0,1060000000.0,3865000000.0,1486200000000.0,0.2502279773846434,11209777697,4236137026,15445914723,15.37,0.26,2.07,91.59,5.57,,Exclusion Of Interest On State And Local Debt
Income Security,Exclusion Of Military Disability Pensions,1974,,65000000.0,65000000.0,1486200000000.0,0.2502279773846434,,259763120,259763120,,0.00,0.13,0.61,0.09,, 
Income Security,Exclusion Of Other Employee Benefits: Premiums On Accident And Disability Insurance,1974,,40000000.0,40000000.0,1486200000000.0,0.2502279773846434,,159854227,159854227,,0.00,0.08,0.38,0.06,,Exclusion Of Other Employee Benefits: Premiums On Accident And Accidental Death Insurance
Income Security,Exclusion Of Other Employee Benefits: Premiums On Group Term Life Insurance,1974,,680000000.0,680000000.0,1486200000000.0,0.2502279773846434,,2717521866,2717521866,,0.05,1.33,6.38,0.98,, 
Income Security,Exclusion Of Public Assistance Benefits,1974,,75000000.0,75000000.0,1486200000000.0,0.2502279773846434,,299726676,299726676,,0.01,0.15,0.70,0.11,, 
Income Security,Exclusion Of Railroad Retirement System Benefits,1974,,160000000.0,160000000.0,1486200000000.0,0.2502279773846434,,639416910,639416910,,0.01,0.31,1.50,0.23,, 
"Education, Training, Employment, And Social Services",Exclusion Of Scholarship And Fellowship Income,1974,,195000000.0,195000000.0,1486200000000.0,0.2502279773846434,,779289359,779289359,,0.01,0.38,3.31,0.28,, 
Social Security,Exclusion Of Social Security Benefits: Social Security Benefits For Disabled Workers,1974,,235000000.0,235000000.0,1486200000000.0,0.2502279773846434,,939143586,939143586,,0.02,0.46,7.40,0.34,,Exclusion Of Social Security Benefits: Disability Insurance Benefits
Social Security,Exclusion Of Social Security Benefits: Social Security Benefits For Retired Workers,1974,,2530000000.0,2530000000.0,1486200000000.0,0.2502279773846434,,10110779883,10110779883,,0.17,4.94,79.69,3.64,,Exclusion Of Social Security Benefits: Oasi Benefits For Aged
Social Security,"Exclusion Of Social Security Benefits: Social Security Benefits For Spouses, Dependents And Survivors",1974,,410000000.0,410000000.0,1486200000000.0,0.2502279773846434,,1638505831,1638505831,,0.03,0.80,12.91,0.59,,Exclusion Of Social Security Benefits: Benefits For Dependents And Survivors
Income Security,Exclusion Of Unemployment Insurance Benefits,1974,,1050000000.0,1050000000.0,1486200000000.0,0.2502279773846434,,4196173469,4196173469,,0.07,2.05,9.85,1.51,, 
Veterans Benefits And Services,Exclusion Of Veterans Death Benefits And Disability Compensation,1974,,485000000.0,485000000.0,1486200000000.0,0.2502279773846434,,1938232507,1938232507,,0.03,0.95,60.62,0.70,,Exclusion Of Veterans Disability Compensation
Veterans Benefits And Services,Exclusion Of Veterans Pensions,1974,,25000000.0,25000000.0,1486200000000.0,0.2502279773846434,,99908892,99908892,,0.00,0.05,3.12,0.04,, 
Income Security,Exclusion Of Workers' Compensation Benefits,1974,,520000000.0,520000000.0,1486200000000.0,0.2502279773846434,,2078104956,2078104956,,0.03,1.02,4.88,0.75,,Exclusion Of Workmen'S Compensation Benefits.........
Commerce And Housing,Exemption Of Credit Union Income,1974,105000000.0,,105000000.0,1486200000000.0,0.2502279773846434,419617347,,419617347,0.58,0.01,,0.33,0.15,, 
Agriculture,Expensing Of Certain Capital Outlays,1974,170000000.0,580000000.0,750000000.0,1486200000000.0,0.2502279773846434,679380466,2317886297,2997266764,0.93,0.05,1.13,57.69,1.08,, 
Energy,Expensing Of Exploration And Development Costs,1974,750000000.0,80000000.0,830000000.0,1486200000000.0,0.2502279773846434,2997266764,319708455,3316975219,4.11,0.06,0.16,28.09,1.20,, 
"General Science, Space, And Technology",Expensing Of Research And Experimentation Expenditures,1974,605000000.0,,605000000.0,1486200000000.0,0.2502279773846434,2417795190,,2417795190,3.32,0.04,,100.00,0.87,,Expensing Of Research And Development Expenditures
Community And Regional Development,Five-Year Amortization For Housing Rehabilitation,1974,35000000.0,50000000.0,85000000.0,1486200000000.0,0.2502279773846434,139872449,199817784,339690233,0.19,0.01,0.10,100.00,0.12,,Housing Rehabilitation: 5-Year Amortization
Natural Resources And Environment,Five-Year Amortization On Pollution Control Facilities,1974,35000000.0,,35000000.0,1486200000000.0,0.2502279773846434,139872449,,139872449,0.19,0.00,,15.91,0.05,,Pollution Control: 5-Year Amortization
Transportation,Five-Year Amortization On Railroad Rolling Stock,1974,70000000.0,,70000000.0,1486200000000.0,0.2502279773846434,279744898,,279744898,0.38,0.00,,7.22,0.10,,Railroad Rolling Stock: 5-Year Amortization
Income Security,Income Of Trusts To Finance Supplementary Unemployment Benefits,1974,,5000000.0,5000000.0,1486200000000.0,0.2502279773846434,,19981778,19981778,,0.00,0.01,0.05,0.01,,Privately Financed Supplementary Unemployment Benefits
Commerce And Housing,Investment Credit,1974,3690000000.0,880000000.0,4570000000.0,1486200000000.0,0.2502279773846434,14746552478,3516793003,18263345481,20.22,0.31,1.72,14.38,6.58,, 
Income Security,Net Exclusion Of Pension Contributions And Earnings: Employer Plans,1974,,4790000000.0,4790000000.0,1486200000000.0,0.2502279773846434,,19142543732,19142543732,,0.32,9.36,44.93,6.90,, 
Income Security,Net Exclusion Of Pension Contributions And Earnings: Self-Employed Plans,1974,,230000000.0,230000000.0,1486200000000.0,0.2502279773846434,,919161808,919161808,,0.02,0.45,2.16,0.33,,Net Exclusion Of Pension Contributions And Earnings: Plans For Self-Employed And Others
"Education, Training, Employment, And Social Services",Parental Personal Exemption For Students Age 19 Or Over,1974,,655000000.0,655000000.0,1486200000000.0,0.2502279773846434,,2617612974,2617612974,,0.04,1.28,11.13,0.94,, 
Income Security,Retirement Income Credit And Credit For The Elderly,1974,,100000000.0,100000000.0,1486200000000.0,0.2502279773846434,,399635569,399635569,,0.01,0.20,0.94,0.14,,Retirement Income Credit
International Affairs,Special Rate For Western Hemisphere Trade Corporations,1974,50000000.0,,50000000.0,1486200000000.0,0.2502279773846434,199817784,,199817784,0.27,0.00,,4.69,0.07,, 
Commerce And Housing,Surtax Exemption (Through 1978),1974,3270000000.0,,3270000000.0,1486200000000.0,0.2502279773846434,13068083090,,13068083090,17.92,0.22,,10.29,4.71,,"$25,000 Corporate Surtax Exemption"
Income Security,Additional Exemption For Elderly,1975,,1100000000.0,1100000000.0,1610600000000.0,0.2760350173262813,,3985001652,3985001652,,0.07,1.87,8.54,1.40,-13.29,Additional  Exemption For Over 64
Income Security,Additional Exemption For The Blind,1975,,20000000.0,20000000.0,1610600000000.0,0.2760350173262813,,72454575,72454575,,0.00,0.03,0.16,0.03,20.87, 
Commerce And Housing,"Capital Gains (Except Agriculture, Timber, Iron Ore, And Coal)",1975,695000000.0,,695000000.0,1610600000000.0,0.2760350173262813,2517796498,,2517796498,3.47,0.04,,1.93,0.88,-15.43,Capital Gain: Corporate (Other Than Farming And Timber)
Agriculture,Capital Gains Treatment Of Certain Income,1975,30000000.0,455000000.0,485000000.0,1610600000000.0,0.2760350173262813,108681863,1648341592,1757023456,0.15,0.03,0.78,44.29,0.62,-20.06, 
Natural Resources And Environment,Capital Gains Treatment Of Certain Timber Income,1975,145000000.0,60000000.0,205000000.0,1610600000000.0,0.2760350173262813,525295672,217363726,742659399,0.72,0.01,0.10,59.42,0.26,0.45, 
Energy,Capital Gains Treatment Of Royalties On Coal,1975,10000000.0,40000000.0,50000000.0,1610600000000.0,0.2760350173262813,36227288,144909151,181136439,0.05,0.00,0.07,1.59,0.06,806.51, 
"Education, Training, Employment, And Social Services",Child Care Facilities: 5-Year Amortization,1975,5000000.0,,5000000.0,1610600000000.0,0.2760350173262813,18113644,,18113644,0.02,0.00,,0.07,0.01,-9.35, 
"Education, Training, Employment, And Social Services",Credit For Child And Dependent Care Expenses,1975,,295000000.0,295000000.0,1610600000000.0,0.2760350173262813,,1068704988,1068704988,,0.02,0.50,4.20,0.37,16.27,Deductibility Of Child And Dependent Care Expenses
General Purpose Fiscal Assistance,Credit For Corporations In Us Possessions,1975,245000000.0,,245000000.0,1610600000000.0,0.2760350173262813,887568550,,887568550,1.22,0.02,,6.05,0.31,-37.44,Exclusion Of Income Earned In Us Possesions
"Education, Training, Employment, And Social Services",Credit For Employment Of Afdc Recipients And Public Assistance Recipients Under Work Incentive Programs,1975,10000000.0,,10000000.0,1610600000000.0,0.2760350173262813,36227288,,36227288,0.05,0.00,,0.14,0.01,81.30, 
General Government,Credits And Deductions For Political Contributions,1975,,40000000.0,40000000.0,1610600000000.0,0.2760350173262813,,144909151,144909151,,0.00,0.07,100.00,0.05,262.60, 
Income Security,Deductibility Of Casualty Losses,1975,,280000000.0,280000000.0,1610600000000.0,0.2760350173262813,,1014364057,1014364057,,0.02,0.48,2.17,0.36,-0.46, 
"Education, Training, Employment, And Social Services",Deductibility Of Charitable Contributions (Education),1975,205000000.0,440000000.0,645000000.0,1610600000000.0,0.2760350173262813,742659399,1594000661,2336660059,1.02,0.04,0.75,9.19,0.82,14.65,Deductibility Of Contributions To Educational Institutions
"Education, Training, Employment, And Social Services",Deductibility Of Charitable Contributions (Other Than Education),1975,385000000.0,4385000000.0,4770000000.0,1610600000000.0,0.2760350173262813,1394750578,15885665676,17280416254,1.92,0.30,7.47,67.95,6.06,5.21, 
Commerce And Housing,Deductibility Of Interest On Consumer Credit,1975,,1185000000.0,1185000000.0,1610600000000.0,0.2760350173262813,,4292933598,4292933598,,0.07,2.02,3.29,1.51,-55.88, 
Health,Deductibility Of Medical Expenses,1975,,2315000000.0,2315000000.0,1610600000000.0,0.2760350173262813,,8386617113,8386617113,,0.14,3.94,41.41,2.94,-1.24, 
Commerce And Housing,Deductibility Of Mortgage Interest On Owner-Occupied Homes,1975,,5405000000.0,5405000000.0,1610600000000.0,0.2760350173262813,,19580849025,19580849025,,0.34,9.21,15.01,6.87,0.61, 
Commerce And Housing,Deductibility Of Nonbusiness State And Local Taxes Other Than On Owner-Occupied Homes,1975,,8490000000.0,8490000000.0,1610600000000.0,0.2760350173262813,,30756967294,30756967294,,0.53,14.47,23.57,10.79,10.66, 
Transportation,Deductibility Of Nonbusiness State Gasoline Taxes,1975,,820000000.0,820000000.0,1610600000000.0,0.2760350173262813,,2970637595,2970637595,,0.05,1.40,86.77,1.04,-14.07, 
Commerce And Housing,Deductibility Of State And Local Property Tax On Owner-Occupied Homes,1975,,4510000000.0,4510000000.0,1610600000000.0,0.2760350173262813,,16338506772,16338506772,,0.28,7.68,12.52,5.73,0.70,Deductibility Of Property Taxes On Owner-Occupied Homes
Commerce And Housing,Deferral Of Capital Gains On Home Sales,1975,,805000000.0,805000000.0,1610600000000.0,0.2760350173262813,,2916296663,2916296663,,0.05,1.37,2.23,1.02,186.17, 
International Affairs,Deferral Of Income Of Domestic International Sales Corporations (Disc),1975,1130000000.0,,1130000000.0,1610600000000.0,0.2760350173262813,4093683515,,4093683515,5.65,0.07,,82.78,1.44,17.74, 
Interest,Deferral Of Interest On Us Savings Bonds,1975,,525000000.0,525000000.0,1610600000000.0,0.2760350173262813,,1901932607,1901932607,,0.03,0.89,100.00,0.67,,Deferral Of Interest On Savings Bonds
Transportation,Deferral Of Tax On Shipping Companies,1975,70000000.0,,70000000.0,1610600000000.0,0.2760350173262813,253591014,,253591014,0.35,0.00,,7.41,0.09,81.30, 
Commerce And Housing,Depreciation On Buildings (Other Than Rental Housing) In Excess Of Straight Line,1975,220000000.0,220000000.0,440000000.0,1610600000000.0,0.2760350173262813,797000330,797000330,1594000661,1.10,0.03,0.37,1.22,0.56,-21.02, 
Commerce And Housing,Depreciation On Rental Housing In Excess Of Straight Line,1975,115000000.0,405000000.0,520000000.0,1610600000000.0,0.2760350173262813,416613809,1467205154,1883818963,0.57,0.03,0.69,1.44,0.66,-1.79, 
Commerce And Housing,Dividend Exclusion,1975,,315000000.0,315000000.0,1610600000000.0,0.2760350173262813,,1141159564,1141159564,,0.02,0.54,0.87,0.40,-10.77, 
Income Security,Earned Income Tax Credit,1975,,,,1610600000000.0,0.2760350173262813,,,,,,,,,,Earned Income Credit
Commerce And Housing,Excess Bad Debt Reserves Of Financial Institutions,1975,880000000.0,,880000000.0,1610600000000.0,0.2760350173262813,3188001321,,3188001321,4.40,0.05,,2.44,1.12,2.27,Financial Institutions: Excess Bad Debt Reserves
Commerce And Housing,Excess First-Year Depreciation,1975,175000000.0,100000000.0,275000000.0,1610600000000.0,0.2760350173262813,633977536,362272877,996250413,0.87,0.02,0.17,0.76,0.35,, 
Energy,Excess Of Percentage Over Cost Depletion,1975,2010000000.0,465000000.0,2475000000.0,1610600000000.0,0.2760350173262813,7281684836,1684568880,8966253717,10.05,0.15,0.79,78.70,3.15,5.83, 
Income Security,Excess Of Percentage Standard Deduction Over Minimum Standard Deduction,1975,,1385000000.0,1385000000.0,1610600000000.0,0.2760350173262813,,5017479352,5017479352,,0.09,2.36,10.75,1.76,-0.36,Excess Of Percentage Standard Deduction Over Low Income Allowance
National Defense,Exclusion Of Benefits And Allowances To Armed Forces Personnel,1975,,650000000.0,650000000.0,1610600000000.0,0.2760350173262813,,2354773703,2354773703,,0.04,1.11,100.00,0.83,-9.35, 
Income Security,Exclusion Of Capital Gains On Home Sales For Persons Age 65 And Over,1975,,40000000.0,40000000.0,1610600000000.0,0.2760350173262813,,144909151,144909151,,0.00,0.07,0.31,0.05,262.60,Exclusion Of Capital Gain On Home Sales If Over 65
Income Security,Exclusion Of Disability Pay,1975,,315000000.0,315000000.0,1610600000000.0,0.2760350173262813,,1141159564,1141159564,,0.02,0.54,2.45,0.40,11.98,Exclusion Of Sick Pay
"Education, Training, Employment, And Social Services",Exclusion Of Employee Meals And Lodging (Other Than Military),1975,,265000000.0,265000000.0,1610600000000.0,0.2760350173262813,,960023125,960023125,,0.02,0.45,3.77,0.34,37.27, 
Health,Exclusion Of Employer Contributions For Medical Insurance Premiums And Medical Care,1975,,3275000000.0,3275000000.0,1610600000000.0,0.2760350173262813,,11864436736,11864436736,,0.20,5.58,58.59,4.16,0.98, 
Veterans Benefits And Services,Exclusion Of Gi Bill Benefits,1975,,255000000.0,255000000.0,1610600000000.0,0.2760350173262813,,923795837,923795837,,0.02,0.43,31.10,0.32,-20.29, 
International Affairs,Exclusion Of Gross-Up On Dividends Of Ldc Corporations,1975,55000000.0,,55000000.0,1610600000000.0,0.2760350173262813,199250083,,199250083,0.27,0.00,,4.03,0.07,-9.35, 
International Affairs,Exclusion Of Income Earned Abroad By Us Citizens,1975,,130000000.0,130000000.0,1610600000000.0,0.2760350173262813,,470954741,470954741,,0.01,0.22,9.52,0.17,30.94, 
Commerce And Housing,Exclusion Of Interest On Life Insurance Savings,1975,,1545000000.0,1545000000.0,1610600000000.0,0.2760350173262813,,5597115956,5597115956,,0.10,2.63,4.29,1.96,-1.37, 
General Purpose Fiscal Assistance,Exclusion Of Interest On Public Purpose State And Local Bonds,1975,2675000000.0,1130000000.0,3805000000.0,1610600000000.0,0.2760350173262813,9690799471,4093683515,13784482986,13.37,0.24,1.93,93.95,4.84,-10.76,Exclusion Of Interest On State And Local Debt
Natural Resources And Environment,Exclusion Of Interest On State And Local Government Pollution Control Bonds,1975,75000000.0,35000000.0,110000000.0,1610600000000.0,0.2760350173262813,271704658,126795507,398500165,0.37,0.01,0.06,31.88,0.14,, 
Commerce And Housing,Exclusion Of Interest On State And Local Industrial Development Bonds,1975,120000000.0,55000000.0,175000000.0,1610600000000.0,0.2760350173262813,434727453,199250083,633977536,0.60,0.01,0.09,0.49,0.22,, 
Income Security,Exclusion Of Military Disability Pensions,1975,,70000000.0,70000000.0,1610600000000.0,0.2760350173262813,,253591014,253591014,,0.00,0.12,0.54,0.09,-2.38, 
Income Security,Exclusion Of Other Employee Benefits: Premiums On Accident And Disability Insurance,1975,,50000000.0,50000000.0,1610600000000.0,0.2760350173262813,,181136439,181136439,,0.00,0.09,0.39,0.06,13.31,Exclusion Of Other Employee Benefits: Premiums On Accident And Accidental Death Insurance
Income Security,Exclusion Of Other Employee Benefits: Premiums On Group Term Life Insurance,1975,,740000000.0,740000000.0,1610600000000.0,0.2760350173262813,,2680819293,2680819293,,0.05,1.26,5.75,0.94,-1.35, 
Income Security,Exclusion Of Public Assistance Benefits,1975,,105000000.0,105000000.0,1610600000000.0,0.2760350173262813,,380386521,380386521,,0.01,0.18,0.82,0.13,26.91, 
Income Security,Exclusion Of Railroad Retirement System Benefits,1975,,170000000.0,170000000.0,1610600000000.0,0.2760350173262813,,615863892,615863892,,0.01,0.29,1.32,0.22,-3.68, 
"Education, Training, Employment, And Social Services",Exclusion Of Scholarship And Fellowship Income,1975,,200000000.0,200000000.0,1610600000000.0,0.2760350173262813,,724545755,724545755,,0.01,0.34,2.85,0.25,-7.02, 
Social Security,Exclusion Of Social Security Benefits: Social Security Benefits For Disabled Workers,1975,,275000000.0,275000000.0,1610600000000.0,0.2760350173262813,,996250413,996250413,,0.02,0.47,7.94,0.35,6.08,Exclusion Of Social Security Benefits: Disability Insurance Benefits
Social Security,Exclusion Of Social Security Benefits: Social Security Benefits For Retired Workers,1975,,2740000000.0,2740000000.0,1610600000000.0,0.2760350173262813,,9926276842,9926276842,,0.17,4.67,79.08,3.48,-1.82,Exclusion Of Social Security Benefits: Oasi Benefits For Aged
Social Security,"Exclusion Of Social Security Benefits: Social Security Benefits For Spouses, Dependents And Survivors",1975,,450000000.0,450000000.0,1610600000000.0,0.2760350173262813,,1630227948,1630227948,,0.03,0.77,12.99,0.57,-0.51,Exclusion Of Social Security Benefits: Benefits For Dependents And Survivors
Income Security,Exclusion Of Special Benefits For Disabled Coal Miners,1975,,50000000.0,50000000.0,1610600000000.0,0.2760350173262813,,181136439,181136439,,0.00,0.09,0.39,0.06,, 
Income Security,Exclusion Of Unemployment Insurance Benefits,1975,,2300000000.0,2300000000.0,1610600000000.0,0.2760350173262813,,8332276181,8332276181,,0.14,3.92,17.86,2.92,98.57, 
Veterans Benefits And Services,Exclusion Of Veterans Death Benefits And Disability Compensation,1975,,540000000.0,540000000.0,1610600000000.0,0.2760350173262813,,1956273538,1956273538,,0.03,0.92,65.85,0.69,0.93,Exclusion Of Veterans Disability Compensation
Veterans Benefits And Services,Exclusion Of Veterans Pensions,1975,,25000000.0,25000000.0,1610600000000.0,0.2760350173262813,,90568219,90568219,,0.00,0.04,3.05,0.03,-9.35, 
Income Security,Exclusion Of Workers' Compensation Benefits,1975,,505000000.0,505000000.0,1610600000000.0,0.2760350173262813,,1829478031,1829478031,,0.03,0.86,3.92,0.64,-11.96,Exclusion Of Workmen'S Compensation Benefits.........
Commerce And Housing,Exemption Of Credit Union Income,1975,115000000.0,,115000000.0,1610600000000.0,0.2760350173262813,416613809,,416613809,0.57,0.01,,0.32,0.15,-0.72, 
Agriculture,Expensing Of Certain Capital Outlays,1975,135000000.0,475000000.0,610000000.0,1610600000000.0,0.2760350173262813,489068385,1720796168,2209864552,0.67,0.04,0.81,55.71,0.78,-26.27, 
Commerce And Housing,Expensing Of Construction Period Interest And Taxes,1975,985000000.0,525000000.0,1510000000.0,1610600000000.0,0.2760350173262813,3568387843,1901932607,5470320449,4.92,0.09,0.89,4.19,1.92,, 
Energy,Expensing Of Exploration And Development Costs,1975,500000000.0,120000000.0,620000000.0,1610600000000.0,0.2760350173262813,1811364387,434727453,2246091840,2.50,0.04,0.20,19.71,0.79,-32.28, 
